author|flightDate|flightFromCity|flightToCity|flightType|flightClass|mark|title|text
Giovanni C|agosto 2019|Milano|Singapore|Internazionali|Business|4.0|Comfort e Cortesia|Volo andata e ritorno per una vacanza a Singapore. Ottima accoglienza a bordo e nelle lounge a terra. Il sedile nella tratta Malpensa-Abu Dhabi, appena salito a bordo, non era comodissimo, probabilmente perché il coprisedile era stato montato male, non sufficientemente teso, ma il personale di bordo si è prodigato per risolvere il problema ed il volo è trascorso tranquillamente. Decollo ed atterraggio particolarmente confortevoli in tutte le tratte del volo. Ottimo il servizio di bordo, buona qualità delle bevande e del cibo. Particolarmente gustoso il panino con la bistecca. Nel volo di ritorno, per la tratta Abu Dhabi-Malpensa, ci è stato offerto un upgrade in prima classe e l'esperienza è stata ancora superiore, veramente da provare. Ottima compagnia aerea e servizio eccellente.
Chiara M|agosto 2019|Roma|Bangkok|Internazionali|Economy|3.0|Sedili strettisismi|Sedili strettissimi personale poco cordiale 2 film in italiano very old style coperte piccole nessun confort
WILLIAM P|NULL|Milano|Abu Dhabi|Internazionali|Economy|4.0|Livello buono ma.....|Il voli da Milano ad Abu Dhabi e poi fino a Singapore hanno riscontrato le stesse problematiche : 1) sedili che a fatica si reclinano (problema giá scritto da molti) e leggermente piú stretti della media 2) la qualitá del cibo....pessimo davvero...molto meglio altre compagnie tipo Emirates o Thai o Alitalia stessa...al contrario il servizio on board di stewards e hostess è stato molto buono. Buona la scelta di film a bordo ma pochi molto pochi quelli in lingua italiana.
Alessia A|agosto 2019|Bangkok|Milano|Internazionali|Economy|4.0|PUÒ ANDARE MA...|Abbiamo viaggiato da Bangkok a Milano con scalo ad Abu Dhabi. Do 4 stelle e non 5 perché secondo me ci sono alcuni aspetti da migliorare. Aspetti positivi: voli in orario, vasta scelta di film, hostess disponibili e cibo buono per essere su un volo di linea. Aspetti negativi: sedili molto stretti rispetto ad altre compagnie e non mi è piaciuto il trattamento che hanno riservato al mio compagno all'aeroporto di Abu Dhabi: ci hanno fatto aspettare fuori dal gate prima che salissero tutti i passeggeri per controllare il suo visto, ritenendolo falso, mentre a persone con il viso coperto non veniva chiesto nemmeno di scoprirlo per controllare il passaporto.
GiuGioMonza|luglio 2019|Milano|Tokyo|Internazionali|Economy|5.0|Prima nostra esperienza con questa compagnia promossa a pieni voti|"Abbiamo viaggiato a/r dall'Italia al Giappone (con scalo ad Abu Dhabi ovviamente) prendendo per la prima volta in vita nostra questa compagnia. Abbiamo letto recensioni che, ultimamente, viravano al negativo della serie ...non e` piu` come una volta. Per nostra fortuna abbiamo avuto un ottima esperienza. Non possiamo fare paragoni col passato ma viaggiando in Economy abbiamo davvero colto al volo un ottima offerta (prenotata mesi prima ovviamente) avendone in cambio un trattamento piu`che adeguato. Non abbiamo pagato extra per riservare i posti ma siamo finiti vicini ugualmente. Pasti sopra la media della categoria, idem per intrattenimento a bordo e livello dei sedili e delle forniture. Sicuramente una compagnia che terremo in considerazione per viaggi futuri verso ""l'Est del mondo"""
Antonio C|agosto 2019|Roma|Johannesburg|Internazionali|Economy|4.0|Buona compagnia ma mi aspettavo di meglio|Ero francamente molto curioso di provare questa compagnia aerea, mi aspettavo qualcosa stile Emirates o Qatar, ma francamente sono rimasto un po’ deluso. Ottimi gli aeromobili , sufficiente il cibo (non il massimo in qualità e quantità ), scarso lo spazio a disposizione. In definitiva buona ma non paragonabile ad altre compagnie degli Emirati tipo Emirates e Qtar!
Paola R|NULL|Melbourne|Abu Dhabi|Internazionali|Economy|1.0|Compagnia aerea scorretta e da evitare|Abbiamo comprato un posto in economy class per il lungo volo da Melbourne ad Abu Dhabi con mesi di anticipo per un problema alla schiena di mio marito.Al momento dell'imbarco ci rendiamo conto che il sedile non è reclinabile costringendo ad un viaggio con sedile in posizione eretta per circa 14 ore di volo. Alle nostre lamentele intervengono i membri dell'equipaggio che con maldestri tentativi riescono a declinare un po' lo schienale ma assolutamente non al livello degli altri sedili.Dopo un viaggio scomodissimo ci suggeriscono di scrivere un reclamo e che anche loro rediggeranno una relazione sui fatti accaduti. Tornati scriviamo in reclamo alla compagnia dicendo che prima di vendere a più di 30 euro dei posti si dovrebbero prima verificarli. Ci aspettavamo almeno delle scuse e al limite il rimborso del prezzo pagato. Invece,dopo alcuni giorni,ci risponde una certa Greta(senza cognome) che non solo non si scusa ma dice di aver verificato il rapporto del personale dell'aereo che smentisce i fatti e ci fa apparire come persone che si sono inventate tutto e che il sedile non aveva nessun problema.Vi sembra che questo modo di fare non sia offensivo per il cliente che oltre al danno si sente anche trattato da bugiardo?
Fabio B|agosto 2019|Roma|Jakarta|Internazionali|Economy|2.0|In continuo peggioramento|Anche quest'anno, dopo confronto di prezzi ed orari, ho optato per viaggiare con Etihad, da Roma a Jakarta e viceversa, con scalo ad Adu Dhabi e Singapore (solo per il viaggio di ritorno). Rispetto alle precedenti esperienza ho trovato molti punti che sono nettamente peggiorati. L'unico lato positivo è stata la puntualità di tutti i voli, la facilità dell'utilizzo del sito e le procedure per il drop-off bagagli. Ma gli aspetti negativi sono tanti. 1. prezzo molto alto (attorno agli 850 Euro), per i voli ad agosto, pur prenotando con due mesi di anticipo. 2. come le peggiori low-cost è necessario pagare salatamente per scegliere anche i posti a sedere sui vari voli. Pessimo! Fino all'anno scorso non era così. 3. food & beverage nettamentte peggiorato nelle quantità e nella qualità: il pasto principale è costituito da una scelta tra due o tre cibi caldi (quasi immangiabili, pesanti), un piccolo dolcetto, un minipanino; non c'è più frutta, né l'acqua confezionata; per il volo partito di notte da Abu Dhabi, poco dopo la partenza è stato offerto un sandwich orribile, con delle verdure cotte filacciose ed olive, salatissimo. In generale poca scelta di bevande. Davvero tutto peggiorato. 4. in generale il servizio di hostess e steward è approssimativo, non coordinato, con tempi lunghissimi. 5. spazio tra i sedili accettabile sulla tratta Roma - Abu Dhabi (su B777), ma inaccettabile sulle sulle lunghe tratte tra Abu Dhabi e Jakarta e Singapore. Una nota positiva sulla tratta Jakarta - Singapore operata dalla compagnia indonesiana Garuda in code-sharing: pur durando il volo solo due ore, il pasto è molto più ricco, l'aeromobile, più comodo, il servizio generale molto migliore. Il giudizio globale quindi non può essere che negativo, soprattutto considerando come era Etihad anni fa. Per i prossimi viaggio verso il sud-est asiatico cercherò di trovare un'altra soluzione.
francesco m|luglio 2019|Roma|Abu Dhabi|Internazionali|Economy|3.0|Mi aspettavo di più|Recentemente ho fatto quattro voli con Etihad Airlines da Roma ad Abu Dhabi, da Abu Dhabi a Shanghai, da Shanghai ad Abu Dhabi e da Abu Dhabi a Roma. Comodità: ho trovato i sedili molto scomodi, seduta dura, spazio sufficiente da e per gli Emirati Arabi, insufficiente da e per Shanghai per un volo di quasi nove ore. Cibo: non all'altezza della compagnia che vorrebbe fare concorrenza ad Emirates Airlines. Per i voli con partenza in tarda serata o nelle prime ore della notte hanno offerto un panino immangiabile, molliccio con peperoni, molto difficili da digerire! .  Personale di bordo e di terra: l'aspetto migliore del volo. Durante il volo da Roma ad Abu Dhabi qualche fila centrale, tra cui la nostra, non ha potuto usufruire dell'intrattenimento perchè non funzionante. Le partenze e gli arrivi sono stati puntuali. Stop over: macchinosa la procedura, prezzi degli alberghi convenzionati superiori a quelli indicati su qualsiasi motore di ricerca, per cui non conviene prenotarli tramite Etihad ma direttamente dal sito dell'hotel o dalle varie agenzie on line. In poche parole è soltanto uno specchietto per le allodole. Trasporto gratuito con bus Etihad da Abu Dhabi a Dubai: utile e conveniente ma attenti agli orari di prenotazione. A me è capitato di aver prenotato per un orario e, successivamente, aver tentato di cambiare l'orario. Ho contattato Etihad e mi hanno rassicurato dicendomi che non era necessario modificare l'orario della prenotazione perchè bastava presentarsi al punto di raccolta e prendere il bus all'orario preferito. Sbagliato! Io ho seguito le loro indicazioni e mi sono ritrovato fuori dal bus perchè era pieno e i prenotati avevano, giustamente, la precedenza. Forte dell'esperienza all'andata, al ritorno, volendo cambiare l'orario, ho provato a contattare gli uffici Etihad in Emirati. Impossibile parlare con qualcuno, al telefono non hanno risposto per due giorni consecutivi, nonostante i continui tentativi fatti dall'addetto alla reception del mio albergo di Dubai al numero dedicato sul sito ed ad un altro numero di Etihad In futuro, farò di tutto per evitare di volare con Etihad  I recently made four flights with Etihad Airlines from Rome to Abu Dhabi, from Abu Dhabi to Shanghai, from Shanghai to Abu Dhabi and from Abu Dhabi to Rome. CoMFORT: I found the seats very uncomfortable, hard seats, sufficient space to and from the UAE, insufficient space to and from Shanghai for a flight of almost nine hours. Food: not up to the level that company would like to compete with Emirates Airlines. For flights departing late in the evening or in the early hours of the day they offered an inedible, soggy sandwich with peppers, very hard to digest! . On-board and ground personnel: the best aspect of the flight. During the flight from Rome to Abu Dhabi some central rows, including ours, could not enjoy the entertainment because it was not working. Departures and arrivals were punctual. Stop over: the procedure is complicated, the prices of the affiliated hotels higher than those indicated on any search engine, so it is not advisable to book them via Etihad but directly from the hotel website or from the various online agencies. In a nutshell, it's just a lark mirror. Free transportation with Etihad bus from Abu Dhabi to Dubai: useful and convenient but attentive to booking times. I happened to have booked for a time and then tried to change the time. I contacted Etihad and they reassured me by telling me that it was not necessary to change the booking time because it was enough to show up at the collection point and take the bus at the preferred time. Very wrong! I followed their directions and found myself off the bus because it was full and the reserved ones had the right of way. Thanks to the precedent experience, on my return trip, when I wanted to change the time of the reservation, I tried to contact the Etihad offices in the Emirates. Unable to talk to anyone, they did not answer on the phone for two consecutive days, despite the continuous attempts made by the receptionist of my Dubai hotel at the dedicated number on the site and another Etihad number In the future, I will do everything to avoid flying with Etihad
Fabrizio P|NULL|Roma|Bangkok|Internazionali|Economy|3.0|Delusione..|Forse avevo aspettative troppo alte per questa compagnia.. Fatto sta che sono rimasto deluso, sia dall'offerta che dalla qualità del prodotto multimediale, servizio medio, cibo medio, nulla che mi abbia indotto a pensare di volare con la compagnia numero uno al mondo. Da rivedere..
Davide G|agosto 2019|Milano|Kuala Lumpur|Internazionali|Economy|5.0|Capo scalo Milano Malpensa Khatia insuperabile|Voglio ringraziare Khatia il capo scalo di oggi 10 agosto 2019 Etihad di Milano MXP per un eccellente customer care.  Grazie mille Davide
Thaumasios|NULL|Milano|Mascate (Muscat)|Internazionali|Economy|4.0|Tutto buono|Si è trattato di 4 buoni voli, via Abu Dhabi. 4 su 4 in orario, cibo servito buono, intrattenimento, coperte, cuffiette, tutto nella norma. Solo l'allestimento dei sedili, in termini di distanza potrebbe essere migliore, con sedili più lontani e quindi più spazio per le gambe. Da aggiungere e non è poco, che sia andata, sia ritorno, presenza di personale di cabina, di madre lingua italiana. Spero solo in tariffe più competive per il sudest asiatico.
iae2013|luglio 2019|Bruxelles|Bangkok|Internazionali|Economy|1.0|carro bestiame|Il viaggio è stato veramente pesante perchè avevamo poco spazio per le gambe ed era impossibile dormire.Pessimo e scarso il cibo che ci è stato offerto.Hostess fantasma .Insomma più che classe economica era classe bestiame.Piccolo dettaglio ad Abu Dhabi ,di sera 40° ,siamo stati , noi della classe bestiame, ammassati su una navetta forno e lasciati ad attendere 15 mn che questa partisse,mente quelli della classe business godevano di una navetta spaziosa e rinfrescata.Trovo che queste suddivisioni siano medioevali e inaccettabili
Antonio D|luglio 2019|Roma|Chengdu|Internazionali|Economy|3.0|Da compagnia leader a compagnia quasi low cost|Dopo alcuni anni ho ripreso un volo Etihad per recarmi a Chengdu via Abu Dhabi e sono rimasto fortemente perplesso nel vedere scivolare una compagnia come Etihad a livello di compagnie low cost. Spazi ridotti tra un posto e L altro, poco personale e servizi a bordo scarsi. Il catering era poi quasi offensivo nella sua pochezza e nella sua qualità . Un vassoietto scarso di cibo di pessima qualità, bevande ridotte all osso ( solo coca e sprite, neanche Fanta o acqua gasata) insomma: delusione assoluta.
rino b|luglio 2019|Singapore|Roma|Internazionali|Economy|3.0|Buona ma ...|Il viaggio non è stato malvagio ma con il solito problema vale a dire che di notte si gela malgrado la coperta, ottimo invece il cibo, peccato non ci siano annunci in italiano
Francesco C|giugno 2019|Abu Dhabi|Pechino|Internazionali|Economy|3.0|aereo migliore rispetto ad altri...moderno.|questo secondo volo da Abu Dhabi a Beijing è stato sicuramente migliore, il velivolo moderno, pulito e con possibilità di interazione con lo schermo superiore. ottimo lo staff, sempre presente, siamo arrivati anche in anticipo.
Francesco C|giugno 2019|Roma|Abu Dhabi|Internazionali|Economy|3.0|un volo come un altro|Volo con scalo, il primo volo è partito da Roma per Abu Dhabi,il velivolo era vecchio, non eccessivamente pulitore i colori interni lo rendevano ancora più sporco. le Hostess e il personale sempre presenti, quindi nulla da dire,dato che siamo arrivati in orario.
Tiziana B|gennaio 2019|Milano|Abu Dhabi|Internazionali|Business|5.0|VOLI ABU DHABI|Meravigliosi voli, l'eccellenza degli aperitivi a bordo...cibo ottimo e piatti curati nella presentazione, servizio ineccepibile
Biagio G|gennaio 2019|Roma|Bangkok|Internazionali|Economy|4.0|ottima compagnia con buoni servizi|Posti comodi buona puntualita nel rispetto degli scali.Rispetto nell ordinativo dei pasti per in particolare in quanto intollerante al lattosio.
Anna De Chiaro|agosto 2018|Roma|Kuala Lumpur|Internazionali|Economy|4.0|Ottima compagnia|Servizio eccellente, è una garanzia, puntualità efficienza cortesia. Viaggio lungo, con scalo a Abu Dhabi, tutto Etihad, aerei non nuovissimi, ma impeccabili.
Miripupa|NULL|Abu Dhabi|Milano|Internazionali|Business|5.0|Ottimo!!!|Con l'asta online ci siamo Aggiudicati ad un prezzo accettabile il volo in business al ritorno da Abu Dhabi.... Top!!! Terminal dedicato alla business, così come i controlli e la Lounge dotata di SPA dove mi sono fatta fare un massaggio ai piedi prima del volo favoloso! La business è molto bella, curata, si mangia molto bene peccato per una turbolenza che ci ha tenuti svegli 1h e mezza mamma mia.... Per il resto riposato e volato divinamente, consigliatissima comunque sia in economy che in business!!
Let135|agosto 2018|Dar es Salaam|Roma|Internazionali|Economy|4.0|Ottima scelta|Questa è stata la seconda volta a bordo di Etihad e l'esperienza ancor più positiva della prima. Il prezzo del biglietto più che competitivo per i servizi ricevuti. Possibilità di scelta dei posti, nessuna limitazione ai bagagli, cabina comoda e pulita. Pasti a bordo della norma e possibilità di bere vino/birra. Lo scalo ad Abu Dhabi non risulta pesante e i voli sono stati puntualissimi
Sonia S|giugno 2019|Roma|Bangkok|Internazionali|Economy|1.0|Posti stretti come Ryanair|Non e’ possibile che in un volo di linea con durata 12h in economy si stia stretti e non si riesca a stendere un minimo le gambe! Non tutti possono permettersi la business ma non trovo differenza a questo punto tra un volo con Ryanair e la Vs compagnia sia a livello di cibo sia al livello di scomodità. Di certo non viaggeró più con Etihad .
ROBITALIA|giugno 2019|Roma|Abu Dhabi|Internazionali|Business|3.0|Da una business mi sarei aspettato molto di più|Niente da dire sul nuovo 787 in business e sul layout dei sedili di business , forse poco intimi però , ma in quanto a qualità del cibo e a cortesia delle hostess , devo dire che la delusione è stata notevole. Trovo assurdo poi che non ci sia un cuscino pulito con per dormire come in ogni business Class. Ridicola la trousse di viaggio firmata Acqua di Parma.
Tiziana M|maggio 2019|Roma|Bangkok|Internazionali|Economy|3.0|POCO SPAZIO!!!|Mi spiace ma non posso dare più di tre stelle e non per il personale, molto gentile, o per la pulizia, quando ho usato il bagno era molto pulito anche se stavamo a fine volo. Però il posto per le gambe è praticamente inesistente, quando si affronta un volo di molte ore come ho fatto io da Roma ad Abu Dhabi e da Abu Dhabi a Bangkok e quando scendi ti fa male tutto, il resto si dimentica facilmente. Non posso dare un grande giudizio neanche sul cibo. Avevo richiesto opzione senza glutine, che regolarmente è arrivata, ma il pane doveva essere cotto e comunque non ho gradito neanche il resto. Magari un giorno riuscirò a viaggiare in prima classe e cambierò giudizio
Odisseo|maggio 2019|Abu Dhabi|Roma|Internazionali|Economy|4.0|Buona compagnia|Buona compagnia, aereo moderno, accogliente e sedili comodi. Partenza puntuale. Personale cordiale e professionale. Peccato che i film siano quasi tutti in lingua non italiana. Su un volo da/per l'Italia sarebbe carino trovare film anche i lingua italiana.
Wilma F|giugno 2018|Milano|Abu Dhabi|Internazionali|Economy|5.0|Ottima compagnia|Ottima compagnia aerea, con partenze puntuali, aerei grandi e personale di terra e a bordo gentile. Aeroporto grande e molto bello. Cibo a bordo buono.
Mario V|aprile 2019|Roma|Colombo|Internazionali|Economy|5.0|Professionalità ed efficienza.|Abbiamo volato su mezzi della ultima generazione come il Boeing 787, fenomenali! Intrayttenimento con una scelta infinita di film a scelta. Cibi veramente gradevoli, Bevande con birre e vino. Accudimento delle hostess impeccabile.
Matteo|maggio 2019|Roma|Bangkok|Internazionali|Economy|1.0|Alla fine mi hanno deluso più loro che tutte le compagnie low cost europee che ho preso fino adesso.|Etihad, compagnia degli emirati principale concorrete di Emirates, nonché, quest’ultima, una delle migliori compagnie aeree al mondo. Appena ho visto il volo per Bangkok, da Roma, con scalo nel loro hub principale ad Abu Dhabi, ho detto “sicuro sarà un ottimo volo”. Non è stato assolutamente così: comincia il 3 Maggio, quando arriviamo in aeroporto alle 9 di mattina, pronti per effettuare il check in, appena arrivati intravedo una fila enorme, una signorina dell’aeroporto di Fiumicino viene da me dicendomi che “il volo ha subito un guasto perció non si sa a che ora partirà”, cominciamo bene. Passano ore, e del volo non si sa nulla, non essendoci un banchetto Etihad all’interno di Fiumicino tutto avviene esternamente, tramite chiamate dalla sede a colui che fa da “capobanco” diciamo, perció i tempi cominciano ad allungarsi. Nell’attesa vedo un volo che parte da lì a poco per Bangkok con la Thai, e mi dico, magari mi faccio spostare su quello. Alle 12:00 la sentenza: l’aereo è rotto e ripartirà alle due di notte, tutti devo raggiungere l’hotel. E da lì il panico, gente arrabbiata che perde la coincidenza con un’altra compagnia, gente che aveva impegni lavorativi. Niente. Lasciati a terra così. Vado dal “capobanco” e gli chiedo se possibile spostarmi sul volo Thai che sarebbe partito tra un’ora e mezza così da risolvere la situazione. Nulla, niente, discussioni su discussioni, io mi arrabbio seriamente e dopo mezz’ora riesco, l’unico, a farmi spostare sul volo per Bangkok. Vi risparmio la parte di me che corro come un matto con le valigie per cercare di non perdere l’unica possibilità per arrivare a destinazione dato che hanno perso tanto di quel tempo, ma non vi risparmio il disagio enorme di questa situazioni e di come da giorni cerco di contattarli per richiedere il rimborso del ritardo ma senza risposta. Etihad, mi ha deluso davvero tanto. Il volo di ritorno è stato scomodo, il cibo pessimo, pochissimi film in Italiano. Siamo arrivati a Roma alle 6:30 e sarebbe stato l’ideale per le 5 sull’aereo qualcosa che assomigliasse ad una colazione, c’era si, ma era a pagamento, dopo 600€ di biglietto aereo devo pagarmi la colazione? Che pena vedere una compagnia del genere ridotta così. Mi dispiace ma non tornerò più a viaggiare con loro. Scegliete altro, tanto le loro stesse tratte le effettua anche Emirates, e fidatevi che sarà tutta un’altra storia.
Ruggero1303|maggio 2019|Bangkok|Roma|Internazionali|Economy|1.0|Un incubo di 14 ore|Il volo da Bangkok a Roma fa scalo ad Abu Dhabi. Nella prima tratta la temperatura a bordo era fredda al limite del gelo, e ho visto uno steward tentare invano di regolare la temperatura. La seconda tratta del volo, su velivolo analogo, è stata ancor più fredda al punto che sono state distribuite le coperte in dotazione e la gente ha indossato berretti e giacche per difendersi dal gelo. Il personale di bordo non ha saputo far nulla per rimediare, e di conseguenza non siamo neppur riusciti a chiudere occhio. Un vero incubo, vergogna!
Angela F|NULL|Torino|Bangkok|Internazionali|Economy|3.0|Molto bene la prima tratta|Ci siamo trovati molto bene soprattutto nella prima tratta Mxp - Abu Dhabi. Nella seconda, invece, assistenza in volo scarsissima. Gli aeromobili sono praticamente nuovi, partenze sempre puntuali. Ci aspettavamo molto di più soprattutto per quanto riguarda l'intrattenimento. Film in italiano pochissimi...con quello che costa qs compagnia, si potrebbe offrire di più.
Cristiana|aprile 2019|Milano|Abu Dhabi|Internazionali|Business|3.0|Business deludente|Classe business non comparabile con altre compagnie per spazio delle sedute e comfort. Personale a bordo gentile E cortese, pasti buoni e buona scelta. Avevamo fatto il check in online selezionando posti vicini dalla mappa a disposizione, ma l'aereo aveva una conformazione diversa per cui non abbiamo viaggiato vicini.
Cristiana|maggio 2019|Abu Dhabi|Roma|Internazionali|Economy|2.0|Delusione|Classe economy molto scarna, neanche il kit di cortesia base dato il volo notturno, né passaggio colazione al mattino se non con carrello con caffe' Starbucks a pagamento. Personale di bordo scortese. Scelta posti a pagamento (102€/ea per economy extra). Molte compagnie offrono viaggio in economy molto più confortevole, e dato che si tratta della compagnia di bandiera degli EAU l'aspettativa era molto più alta.
maximelo|aprile 2019|Milano|Abu Dhabi|Internazionali|Economy|2.0|Delusione|Avevo già preso questa compagnia, ma il crollo del servizio è stato notevole, si stanno Alitalizzando :-) Pasto scarsissimo ed insignificante, almeno sono puntuali. Al ritorno devono aver messo qualche fila in più perché le gambe toccavano il sedile davanti. Partenza da Abu Dhabi alle 02 della mattina e dopo venti minuti quando tutti vorrebbero dormire servono con tutte le luci accese una specie di pasto che ovviamente quasi tutti rifiutavano. Il bello che al mattino, anziché offrire un po' di caffè con almeno un misero biscotto, passano a chiede se vuoi qualcosa a pagamento stile Easyjet. Con 600 euro di biglietto potreste fare meglio.
danielot|maggio 2019|Abu Dhabi|Roma|Internazionali|Economy|1.0|Overbooking e assistenza speciale...che brutta esperienza!!|"Mio marito ed io abbiamo prenotato un volo diretto A/R da Roma per Abu Dhabi, con servizio di assistenza con sedia a rotelle in aeroporto per mio marito. Premetto che nella mail di remind del check in on line, inviatami dalla compagnia aerea prima della partenza, era espressamente segnalato che ""se hai una richiesta di assistenza speciale, dovrai effettuare il check-in in aeroporto"". All'andata nessun problema, al ritorno, il dramma. Arriviamo in aeroporto ad Abu Dhabi e ci viene data la ferale notizia: non ci avrebbero fatto partire, poichè non vi erano più posti disponibili avendo tutti i passeggeri fatto il check in on line ed essendo il volo in overbooking! Trovo la cosa allucinante e scorretta: ai passeggeri con richiesta di assistenza non viene data la possibilità di fare il check in on line e per questa ragione, anzichè essere agevolati, si viene discriminati e penalizzati. Siamo potuti partire solo il giorno dopo, con tutti i disagi del caso (impegni di lavoro saltati e utilizzo di giorni di ferie non preventivati). Non mi sembra un comportamento eticamente corretto e ritengo che, in presenza di soggetti con richiesta di assistenza, il posto a bordo debba essere sempre garantito. La compagnia aerea ha comunque provveduto alla nostra sistemazione in albergo con pensione completa ed alla emissione di un voucher di 300$ a persona, da utilizzare entro 12 mesi per l'acquisto di un nuovo volo, cifra che non copre nemmeno la metà del costo del biglietto che abbiamo sostenuto."
enzo b|marzo 2019|Milano|Malé|Internazionali|Economy|4.0|da consigliare|Orari di partenza ed arrivo rispettati, spazi abbastanza comodi per distendere le gambe. Personale gentilissimo. Diversi applicativi di intrattenimento, ci potrebbero essere più film in italiano.
robi&gil|aprile 2019|Trieste|Nuova Delhi|Internazionali|Economy|2.0|Arriveremmo in India?|Piu' che una recensione illustrerò cosa mi sta succedendo. Poi a ognuno la facoltà di opinione se fidarsi ancora di Etihad o no..... Abbiamo prenotato dei voli da Trieste a Delhi per il giorno 17 Maggio 2019 (ho indicato Aprile solo perché il campo è obbligatorio) scegliendo Etihad che ci forniva voli con orari perfetti per il nostro viaggio. Beh, da Marzo ad oggi è stato un continuo cambiare orari dei voli procurandoci gravi disagi in quanto abbiamo anche già programmato tutti i servizi a terra (tour, guida,autista....): - variazione 1: da Abu Dhabi a Delhi il volo in partenza alle 08:10 partirà alle 08:20, beh, poco male solo 10 minuti di differenza. - variazione 2: da Abu Dhabi a Delhi il volo in partenza alle 08:20 partirà alle 14:25, con un aumento significativo delle ore da passare in aeroporto! - variazione 3: da Roma ad Abu Dhabi il volo che doveva partire alle 22:00 partirà alle 11:00 del giorno dopo!! Più di 14 ore in aeroporto e poi il volo da Abu Dhabi a Delhi in partenza alle 14:25 viene spostato alle 22:15 facendoci arrivare a Delhi alle 03:15 invece delle 19:40 facendoci pagare una notte d'albergo per starci un paio di ore solo. - variazione 4: da Abu Dhabi a Delhi il volo in partenza alle 22:15 viene anticipato di 1/2 ora..... Sarà l'ultima variazione??? E tutto questo senza il minimo interessamento da parte di Etihad sulle conseguenze che queste loro variazioni comportano sul nostro programma di viaggio.
marilenavita|aprile 2019|Milano|Tokyo|Internazionali|Economy|3.0|Cibo pessimo|Considerata la lunghezza dei voli i sedili sono abbastanza scomodi ma quello che è veramente orribile è il cibo che servono. Proprio immangiabile e per di più servito ad orari strani. Ci hanno svegliati in piena notte per darci del pollo o del pesce disgustosi e al mattino prima dell’atterraggio neanche un caffè o qualcosa che assomigliasse ad una colazione. Se proprio dovete viaggiare con loro portatevi il vostro cibo!!
Niccolo764|aprile 2019|Abu Dhabi|Roma|Internazionali|Economy|1.0|Overbooking vergognoso|Sono appena atterrato a Roma dopo un viaggio da Abu Dhabi per Roma via Francoforte. Oltre al problema del check-in segnalato dal precedente viaggiatore in quanto avevamo una connection con Alitalia, questa mattina all’imbarco ci siamo trovati di fronte ad un overbooking vergognoso in cui non ci volevano far partire tutti insieme, rinviando il rientro al giorno dopo. Viaggiavo con moglie e bambini relativamente piccoli. Ci siamo dovuti accampare al check-in per un’ora chiedendo del responsabile ecc e solo di fronte alle nostre vibrantissime proteste ed insistenze ci hanno imbarcato facendoci prendere l’aereo di corsa con i bambini piuttosto agitati ... ovviamente arrivati a Roma bagagli vaporizzati .... domani impegnerò la mia giornata a fare giustizia!
Tudu|marzo 2019|Johannesburg|Londra|Internazionali|Economy|2.0|Una terribile odissea|Abbiamo viaggiato da Johannesburg a Londra via Abu Dhabi. Il viaggio si è trasformato in un’odissea, a causa di un ritardo in partenza di 10 ore. La partenza, prevista per le 20, è stata effettuata alle 5 del mattino. Quella successiva, da Abu Dhabi per Londra, alle 2.50 del mattino successivo. Due notti in bianco, passate tra un hotel e l’altro, correndo tra gli aeroporti. Le valigie sono state imbarcate e la Compagnia non ha nemmeno fornito un kit di cortesia da viaggio. Alla fine siamo arrivati il giorno dopo rispetto a quello previsto. Avevamo chiesto espressamente di essere riprenotati su un volo alternativo operato da altro vettore (c’erano almeno 3 voli in partenza per Londra, in grado di portarci a destinazione lo stesso giorno) ma la compagnia si è rifiutata. Catering a bordo scadente. Cibo insufficiente. Snack a pagamento. Al momento sono in attesa che il nostro complain riceva riscontro dalla Compagnia.
gp_prandi|aprile 2019|Abu Dhabi|Roma|Internazionali|Economy|2.0|pessima esperienza|se volate dall'Italia e verso l'Italia con Etihad e un volo di Alitalia in coincidenza, scordatevi di fare il Check in on line. Le due compagnie non si parlano e i loro sistemi non sono connessi...risultato si deve andare al check inn in aeroporto come 10 anni fa (e fare le code) ....incredibile ma vero. oltre a ciò il servizio è pessimo....partenza da Abu Dhabi alle 2 del mattino, mi addormento quasi subito e dopo circa mezz'ora vengo bruscamente svegliato da una hostess che mi intima di ricevere la cena...alle 3 del mattino... (devo aver risposto malamente)...al mattino successivo nessuna colazione viene servita ...neanche un caffè ......io sono un viaggiatore di lungo corso ma un servizio così non mi era mai capitato...mai più
Patrizia M|marzo 2019|Milano|Abu Dhabi|Internazionali|Economy|4.0|Volo confortevole|Puntualissimi, anzi con qualche minuto di anticipo. Posti abbastanza comodi anche per le gambe (ma io sono piuttosto piccola!). Personale gentilissimo. Molto utili cuscino e copertina perché si moriva di freddo. Molti film disponibili, recenti e in italiano. Pasto servito fuori orario, alle 11 e mezza come in ospedale! Al ritorno, partita alle 2 di notte, ho fatto colazione alle 4. Presto dovrò tornare negli Emirati e penso che volerò di nuovo Etihad.
Davide P|aprile 2019|Milano|Abu Dhabi|Internazionali|Economy|5.0|CONFORT CON ETIHAD|Ottimo volo con la compagnia Etihad Airways volo per le maldive andata e ritorno abbiamo preso 4 aerei Airbus A 330- 300 jet e di questa compagnia ,su tutti decollo e atterraggio perfetti ,cordialità e confort a bordo e servizio di cena e pranzo perfetti,menu internazionale . Servizio buono al checkin a Milano Malpensa con il personale Etihad .
